Наименование;Профиль/Специализация;Шифр профиля/специализации;Площадка;Год;Форма обучения;Уровень обучения;Для иностранных групп;Выпускающая кафедра;Статус разработки;Утверждено проректором;Приведен к шаблону;Скан прикреплен;Дата отправки на утверждение;Дата утверждения;Код;Нет набора;Для лицензирования
УП очного специалитета по 161101 "Управляющие пилотажно-навигационные комплексы летательных аппаратов";Управляющие пилотажно-навигационные комплексы летательных аппаратов;161101.С12;МАИ;2011/12;очная;Специалитет;Нет;Кафедра 305;Утвержден;Нет;Да;Нет;22.11.2016;22.11.2016 12:41:29;000006032;Нет;Нет
УП очного специалитета по 161101 "Навигационные системы и инерциальные датчики систем управления ЛА";Навигационные системы и инерциальные датчики систем управления летательных аппаратов;161101.С11;МАИ;2011/12;очная;Специалитет;Нет;Кафедра 305;Утвержден;Нет;Да;Нет;22.11.2016;22.11.2016 12:39:49;000006033;Нет;Нет
УП очного специалитета по 161101 "Измерительно-вычислительные комплексы систем управления воздушно-космических ЛА" (каф. 303);Измерительно-вычислительные комплексы систем управления воздушно-космических ЛА;161101.С13;МАИ;2011/12;очная;Специалитет;Нет;Кафедра 305;Утвержден;Нет;Нет;Нет;22.11.2016;22.11.2016 12:39:13;000006527;Нет;Нет
УП очного специалитета по 161400 "Приборы и измерительно-вычислительные комплексы летательных аппаратов";Приборы и измерительно-вычислительные комплексы ЛА;161400.С5;МАИ;2011/12;очная;Специалитет;Нет;Кафедра 305;Утвержден;Да;Да;Да;28.12.2016;28.12.2016 17:11:50;000006956;Нет;Нет
УП очного специалитета по 161101 "Навигационные системы и инерциальные датчики систем управления ЛА" (2012/13);Навигационные системы и инерциальные датчики систем управления летательных аппаратов;161101.С11;МАИ;2012/13;очная;Специалитет;Нет;Кафедра 305;Утвержден;Да;Да;Нет;17.01.2017;17.01.2017 14:42:55;000009840;Нет;Нет
УП очного специалитета по 161101 "Управляющие пилотажно-навигационные комплексы летательных аппаратов" (2012/13);Управляющие пилотажно-навигационные комплексы летательных аппаратов;161101.С12;МАИ;2012/13;очная;Специалитет;Нет;Кафедра 305;Утвержден;Да;Да;Нет;17.01.2017;17.01.2017 14:44:28;000009841;Нет;Нет
УП очного специалитета по 161101 "Измерительно-вычислительные комплексы систем управления воздушно-космических ЛА" (каф. 303) (2012/13);Измерительно-вычислительные комплексы систем управления воздушно-космических ЛА;161101.С13;МАИ;2012/13;очная;Специалитет;Нет;Кафедра 305;Утвержден;Да;Да;Да;17.01.2017;17.01.2017 14:46:20;000009842;Нет;Нет
УП очного специалитета по 161400 "Приборы и измерительно-вычислительные комплексы летательных аппаратов";Приборы и измерительно-вычислительные комплексы ЛА;161400.С5;МАИ;2012/13;очная;Специалитет;Нет;Кафедра 305;Утвержден;Да;Да;Да;20.01.2017;20.01.2017 12:56:38;000010472;Нет;Нет
УП очного специалитета по 161101 "Измерительно-вычислительные комплексы систем управления воздушно-космических ЛА" (каф. 303) (2013/14);Измерительно-вычислительные комплексы систем управления воздушно-космических ЛА;161101.С13;МАИ;2013/14;очная;Специалитет;Нет;Кафедра 305;Утвержден;Нет;Да;Да;17.01.2017;17.11.2017 12:50:20;000010827;Нет;Нет
УП очного специалитета по 161101 "Управляющие пилотажно-навигационные комплексы летательных аппаратов"  (каф. 305) (2013/14);Управляющие пилотажно-навигационные комплексы летательных аппаратов;161101.С12;МАИ;2013/14;очная;Специалитет;Нет;Кафедра 305;Утвержден;Нет;Да;Нет;17.01.2017;17.11.2017 12:42:11;000010829;Нет;Нет
