
Отбор:	Выпускающая кафедра Равно "Кафедра 305"
	
Выпускающая кафедра				
Год поступления				
УП	Статус разработки УП	Количество дисциплин	Количество дисциплин с РПД	Код УП
Дисциплина	Обеспечивающая кафедра			
РПД, Код	Статус разработки РПД			
Кафедра 305				
2011/12				
УП очного специалитета по 161101 "Измерительно-вычислительные комплексы систем управления воздушно-космических ЛА" (каф. 303)	Утвержден	76	75	000006527
Алгоритмы измерительно-вычислительных комплексов	Кафедра 303			
РП дисциплины "Алгоритмы измерительно-вычислительных комплексов" каф.303, спец. 161101.С13, 000017344	Утвержден			
Базы и банки данных	Кафедра 303			
РП дисциплины "Базы и банки данных"  (5 семестр, каф303 Белобжеский Л.А.), 000009115	Утвержден			
РП дисциплины "Базы и банки данных" (161101.13, каф. 303), 000002936	В архиве			
РП дисциплины "Базы и банки данных" (Копия 04.09.2012 17:11:28 Белобжеский Л.А., 161101, каф.303), 000002939	В архиве			
Безопасность жизнедеятельности	Кафедра 503			
РП дисциплины "Безопасность жизнедеятельности" (каф. 303), 000010324	Утвержден			
Введение в специальность	Кафедра 303			
РП дисциплины "Введение в специальность" (Копия 04.07.2014 12:09:19 Соболев В.И.), 000017316	Утвержден			
Гироскопические приборы	Кафедра 305			
РП дисциплины "Гироскопические приборы", 000008163	Утвержден			
Динамика полета воздушных и космических летательных аппаратов	Кафедра 301			
РП дисциплины "Динамика полета воздушных и космических летательных аппаратов" (161101.13 очн. спец.), 000001387	Утвержден			
Дифференциальные уравнения	Кафедра 804			
РП дисциплины "Дифференциальные уравнения" для очного специалитета по направлению 161101 на 3 з.е. , 000002361	Утвержден			
Измерительные преобразователи	Кафедра 303			
Нет РПД,				
Инженерная и компьютерная графика	Кафедра 904			
РП дисциплины "Инженерная и компьютерная графика" (специалитет)  Кожухова Е.А., 000000730	Утвержден			
Иностранный язык-1	Кафедра И-12			
РП дисциплины "Иностранный язык-1" (оч.бакалавры по 161101 "Измерительно-вычислительные комплексы систем управления возд" (каф.303), 000014917	Утвержден			
Иностранный язык-2	Кафедра И-12			
РП дисциплины "Иностранный язык-2"  (очн. спец.161101"Измерительно-вычислительные комплексы систем управления воздушно-космических ЛА" каф.303), 000037557	Утвержден			
Интеллектуализированные приборные комплексы	Кафедра 303			
РП дисциплины "Интеллектуализированные приборные комплексы" (Копия 2011/2012), 000092380	Утвержден			
Информатика	Кафедра 304			
РП дисциплины "Информатика" разр.каф. 304(спец.161101,2011), 000005143	Утвержден			
Информационно-статистическая теория измерений	Кафедра 303			
РП дисциплины "Информационно-статистическая теория измерений" , 000007637	Утвержден			
Информационные технологии сбора и хранения данных	Кафедра 303			
РП дисциплины "Информационные технологии сбора и хранения данных" ( каф303 Белобжеский Л.А.) (Копия 12.07.2014 15:09:37 Белобжеский Л.А.), 000017363	Утвержден			
Искусственный интеллект и экспертные системы	Кафедра 303			
РП дисциплины "Искусственный интеллект и экспертные системы" (Копия 13.02.2014 10:25:53 Нгуен Н.М.), 000013367	Утвержден			
Испытание приборов и систем	Кафедра 308			
РП дисциплины "Испытание приборов и систем", 000017174	Утвержден			
История	Кафедра 518			
РП дисциплины "История" , 000006310	Утвержден			
История культуры	Кафедра 004			
РП дисциплины "История культуры" Шаблон УП очного специалитета по 161101, 000023818	Утвержден			
Культурология	Кафедра 004			
РП дисциплины "Культурология" очного специалитета по 161101, 000014606	Утвержден			
Линейная алгебра и аналитическая геометрия	Кафедра 804			
РП дисциплины Линейная алгебра (161101, 3ф 2011/12 уч.год) Осокин А.В., 000060260	Утвержден			
Математический анализ	Кафедра 804			
РП дисциплины "Математический анализ" для специалитета на 10 з.е. (161101)   , 000002825	Утвержден			
Материаловедение	Кафедра 903			
РП дисциплины "Материаловедение" очного специалитета по 161101 "Измерительно-вычислительные комплексы систем управления воздушно-космических ЛА, 000014872	Утвержден			
Метрология, стандартизация и сертификация	Кафедра 303			
РП дисциплины "Метрология, стандартизация и сертификация", 000017191	Утвержден			
Микропроцессорная техника в приборах, системах и комплексах	Кафедра 303			
РП дисциплины "Микропроцессорная техника в приборах, системах и комплексах", 000011471	Утвержден			
Микропроцессорная техника и измерительно-вычеслительные комплексы	Кафедра 303			
РП дисциплины "Микропроцессорная техника и измерительно-вычислительные комплексы", 000011470	Утвержден			
Моделирование систем	Кафедра 303			
РП дисциплины "Моделирование систем" (Копия 01.08.2012 15:37:31 Костюков В.М.), 000002700	Утвержден			
Моделирование, идентификация и оптимизация	Кафедра 303			
РП дисциплины "Моделирование, идентификация и оптимизация" (Копия 01.08.2012 15:55:03 Костюков В.М.), 000002703	Утвержден			
Надёжность измерительно-вычислительных комплексов	Кафедра 303			
РП дисциплины "Надёжность измерительно-вычислительных комплексов" каф.303 спец.161101.С13, 000003216	Утвержден			
Начертательная геометрия	Кафедра 904			
РП дисциплины "Начертательная геометрия" (72ч= 18ЛК+16ПЗ+38СРС) 161101C, 000048572	Утвержден			
Основы автоматизированного проектирования	Кафедра 303			
РП дисциплины "Основы автоматизированного проектирования" (Направление 161101, кафедра 303), 000015878	Утвержден			
Основы конструирования приборов	Кафедра 907			
РП дисциплины "Основы конструирования приборов", 000012961	В разработке			
РП дисциплины "Основы конструирования приборов" (очного специалитета по 161101), 000013047	Утвержден			
Основы менеджмента	Кафедра 506			
РП дисциплины "Основы менеджмента" (161101) "Измерительно-вычислительные комплексы систем управления воздушно-космических ЛА" (каф. 303) разр.к.501, 000000979	В архиве			
РП дисциплины "Основы менеджмента" (161101) разр.к.501, 000018264	В архиве			
РП дисциплины "Основы менеджмента" каф. 506  161101, 000019551	Утвержден			
